method,problem,dim,bootstrap_arq_iters,delta,stagnationtrigger,runs,mean_f,stdev_f,min_f,mean_evals,stdev_evals,success_rate
arq2,tersoffc,24,1.000,0.150,24.000,30,-32.8526032610,0.6114807046,-33.9648801132,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,2.000,0.150,24.000,30,-32.9712993799,0.6152897016,-34.0670996753,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,3.000,0.150,24.000,30,-32.7979523177,0.6585196672,-34.2476321133,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,5.000,0.150,24.000,30,-32.6957683680,0.6840172745,-33.6481978822,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,8.000,0.150,24.000,30,-32.8819270715,0.5763928069,-33.9301788954,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,1.000,0.200,24.000,30,-32.8628128774,0.6049898707,-33.9648801132,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,2.000,0.200,24.000,30,-32.9650387399,0.6145911866,-34.0670996753,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,3.000,0.200,24.000,30,-32.7983010137,0.6569204841,-34.2476321133,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,5.000,0.200,24.000,30,-32.7558807655,0.7102095215,-33.6338355091,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,8.000,0.200,24.000,30,-32.9292101456,0.5451964879,-33.9301788954,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,1.000,0.250,24.000,30,-32.9043913161,0.5393991633,-33.9648801132,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,2.000,0.250,24.000,30,-32.9560156984,0.6227834307,-34.0670996753,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,3.000,0.250,24.000,30,-32.7942137312,0.6625545778,-34.2476321133,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,5.000,0.250,24.000,30,-32.7829604053,0.7002778555,-33.6784461337,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,8.000,0.250,24.000,30,-32.8867612809,0.5621159996,-33.7865719407,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,1.000,0.050,30.000,30,-32.8413477319,0.6365249967,-34.4344677199,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,2.000,0.050,30.000,30,-32.7829415001,0.5094444494,-33.7297617538,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,3.000,0.050,30.000,30,-32.7860070526,0.6011486959,-33.7767450133,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,5.000,0.050,30.000,30,-33.1575845414,0.4972335513,-33.8647610752,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,8.000,0.050,30.000,30,-32.7510824322,0.6332808466,-34.0667533577,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,1.000,0.100,30.000,30,-32.8382263785,0.6390757777,-34.4344677199,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,2.000,0.100,30.000,30,-32.7829415001,0.5094444494,-33.7297617538,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,3.000,0.100,30.000,30,-32.7860070526,0.6011486959,-33.7767450133,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,5.000,0.100,30.000,30,-33.1576058616,0.4972236609,-33.8647610752,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,8.000,0.100,30.000,30,-32.7780743014,0.6818531057,-34.3150165225,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,1.000,0.150,30.000,30,-32.8372358280,0.6394578669,-34.4344677199,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,2.000,0.150,30.000,30,-32.7942050361,0.4951317307,-33.7297617538,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,3.000,0.150,30.000,30,-32.7831533995,0.6039976061,-33.7767450133,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,5.000,0.150,30.000,30,-33.1535698801,0.4998025719,-33.8647610752,150000.0000000000,0.0000000000,100.000
